"YEAR","MONTH","DAY","min_temp","max_temp","min_light","max_light","MY","range_temp","range_light","site"
2016,2,25,12.594,19.187,355.2,22044.6,2016-02-01,6.593,21689.4,"sjd"
2016,2,26,7.983,10.944,473.6,7577.8,2016-02-01,2.961,7104.2,"sjd"
2016,2,27,3.788,12.883,301.4,35822.5,2016-02-01,9.095,35521.1,"sjd"
2016,2,28,7.179,16.427,32.3,187379,2016-02-01,9.248,187346.7,"sjd"
2016,2,29,3.367,17.189,64.6,99200.7,2016-02-01,13.822,99136.1,"sjd"
2016,3,1,0.784,18.996,75.3,132267.5,2016-03-01,18.212,132192.2,"sjd"
2016,3,2,9.373,16.046,10.8,23422.4,2016-03-01,6.673,23411.6,"sjd"
2016,3,3,9.176,20.996,183,159823.3,2016-03-01,11.82,159640.3,"sjd"
2016,3,4,8.978,14.9,21.5,16533.4,2016-03-01,5.922,16511.9,"sjd"
2016,3,5,8.68,18.236,118.4,55111.5,2016-03-01,9.556,54993.1,"sjd"
2016,3,6,3.367,15.76,312.2,71644.9,2016-03-01,12.393,71332.7,"sjd"
2016,3,7,9.275,17.189,236.8,110223,2016-03-01,7.914,109986.2,"sjd"
2016,3,8,6.573,18.901,366,93689.5,2016-03-01,12.328,93323.5,"sjd"
2016,3,9,7.782,15.378,86.1,28933.5,2016-03-01,7.596,28847.4,"sjd"
2016,3,10,10.259,18.045,441.3,104711.8,2016-03-01,7.786,104270.5,"sjd"
2016,3,11,6.37,19.472,441.3,132267.5,2016-03-01,13.102,131826.2,"sjd"
2016,3,12,-1.001,22.908,1259.4,104711.8,2016-03-01,23.909,103452.4,"sjd"
2016,3,13,-1.799,19.662,775,115734.1,2016-03-01,21.461,114959.1,"sjd"
2016,3,14,7.882,21.664,559.7,88178.4,2016-03-01,13.782,87618.7,"sjd"
2016,3,15,9.077,16.618,161.5,12400.1,2016-03-01,7.541,12238.6,"sjd"
2016,3,16,3.472,19.662,947.2,85422.8,2016-03-01,16.19,84475.6,"sjd"
2016,3,17,6.573,20.424,1463.9,68889.3,2016-03-01,13.851,67425.4,"sjd"
